run_name,d_model,n_layers,G,j,A,top_k,n_experts,d_expert,N_act,N_tot,D,steps,warmup,C,lr
d016_G01_A3_T4M,16,10,1,3,0.375,3,8,64,102400,1062144,4000000,488,10,29660160000000,0.010084704835433726
d016_G01_A4_T4M,16,10,1,4,0.5,4,8,64,133120,1062144,4000000,488,10,30397440000000,0.010046915261116483
d016_G01_A8_T4M,16,10,1,8,1.0,8,8,64,256000,1062144,4000000,488,10,33346560000000,0.009905673615945236
d016_G02_A1_T4M,16,10,2,1,0.125,2,16,32,40960,1063424,4000000,488,10,28216320000000,0.010161949005981524
d016_G02_A2_T4M,16,10,2,2,0.25,4,16,32,71680,1063424,4000000,488,10,28953600000000,0.010121950173727298
d016_G02_A3_T4M,16,10,2,3,0.375,6,16,32,102400,1063424,4000000,488,10,29690880000000,0.010083108738661252
d016_G02_A4_T4M,16,10,2,4,0.5,8,16,32,133120,1063424,4000000,488,10,30428160000000,0.010045363690557488
d016_G02_A8_T4M,16,10,2,8,1.0,16,16,32,256000,1063424,4000000,488,10,33377280000000,0.009904279075440848
d016_G04_A1_T4M,16,10,4,1,0.125,4,32,16,40960,1065984,4000000,488,10,28277760000000,0.01015856998635103
d016_G04_A2_T4M,16,10,4,2,0.25,8,32,16,71680,1065984,4000000,488,10,29015040000000,0.01011867005505773
d016_G04_A3_T4M,16,10,4,3,0.375,12,32,16,102400,1065984,4000000,488,10,29752320000000,0.010079922249244996
d016_G04_A4_T4M,16,10,4,4,0.5,16,32,16,133120,1065984,4000000,488,10,30489600000000,0.01004226596025926
d016_G04_A8_T4M,16,10,4,8,1.0,32,32,16,256000,1065984,4000000,488,10,33438720000000,0.009901494428450208
d016_G08_A1_T4M,16,10,8,1,0.125,8,64,8,40960,1071104,4000000,488,10,28400640000000,0.010151837268690083
d016_G08_A2_T4M,16,10,8,2,0.25,16,64,8,71680,1071104,4000000,488,10,29137920000000,0.010112133775286237
d016_G08_A3_T4M,16,10,8,3,0.375,24,64,8,102400,1071104,4000000,488,10,29875200000000,0.010073571968923127
d016_G08_A4_T4M,16,10,8,4,0.5,32,64,8,133120,1071104,4000000,488,10,30612480000000,0.010036092033704732
d016_G08_A8_T4M,16,10,8,8,1.0,64,64,8,256000,1071104,4000000,488,10,33561600000000,0.009895942788899301
d016_G16_A1_T4M,16,10,16,1,0.125,16,128,4,40960,1081344,4000000,488,10,28646400000000,0.010138472025674024
d016_G16_A2_T4M,16,10,16,2,0.25,32,128,4,71680,1081344,4000000,488,10,29383680000000,0.010099156036895799
d016_G16_A3_T4M,16,10,16,3,0.375,48,128,4,102400,1081344,4000000,488,10,30120960000000,0.010060961269696833
d016_G16_A4_T4M,16,10,16,4,0.5,64,128,4,133120,1081344,4000000,488,10,30858240000000,0.0100238294531738
d016_G16_A8_T4M,16,10,16,8,1.0,128,128,4,256000,1081344,4000000,488,10,33807360000000,0.009884909481412142
d016_G01_A1_T8M,16,10,1,1,0.125,1,8,64,40960,1062144,8000000,976,10,56371200000000,0.009141592540851918
d016_G01_A2_T8M,16,10,1,2,0.25,2,8,64,71680,1062144,8000000,976,10,57845760000000,0.009105571332646402
d016_G01_A3_T8M,16,10,1,3,0.375,3,8,64,102400,1062144,8000000,976,10,59320320000000,0.009070593517243437
d016_G01_A4_T8M,16,10,1,4,0.5,4,8,64,133120,1062144,8000000,976,10,60794880000000,0.009036604037787678
d016_G01_A8_T8M,16,10,1,8,1.0,8,8,64,256000,1062144,8000000,976,10,66693120000000,0.008909565560017494
d016_G02_A1_T8M,16,10,2,1,0.125,2,16,32,40960,1063424,8000000,976,10,56432640000000,0.00914007006455436
d016_G02_A2_T8M,16,10,2,2,0.25,4,16,32,71680,1063424,8000000,976,10,57907200000000,0.009104093488693885
d016_G02_A3_T8M,16,10,2,3,0.375,6,16,32,102400,1063424,8000000,976,10,59381760000000,0.00906915792291782
d016_G02_A4_T8M,16,10,2,4,0.5,8,16,32,133120,1063424,8000000,976,10,60856320000000,0.00903520849214865
d016_G02_A8_T8M,16,10,2,8,1.0,16,16,32,256000,1063424,8000000,976,10,66754560000000,0.008908311253593554
d016_G04_A1_T8M,16,10,4,1,0.125,4,32,16,40960,1065984,8000000,976,10,56555520000000,0.009137030836926468
d016_G04_A2_T8M,16,10,4,2,0.25,8,32,16,71680,1065984,8000000,976,10,58030080000000,0.009101143216611013
d016_G04_A3_T8M,16,10,4,3,0.375,12,32,16,102400,1065984,8000000,976,10,59504640000000,0.009066291864791824
d016_G04_A4_T8M,16,10,4,4,0.5,16,32,16,133120,1065984,8000000,976,10,60979200000000,0.009032422267581865
d016_G04_A8_T8M,16,10,4,8,1.0,32,32,16,256000,1065984,8000000,976,10,66877440000000,0.008905806628881845
d016_G08_A1_T8M,16,10,8,1,0.125,8,64,8,40960,1071104,8000000,976,10,56801280000000,0.009130975156947194
d016_G08_A2_T8M,16,10,8,2,0.25,16,64,8,71680,1071104,8000000,976,10,58275840000000,0.009095264220855591
d016_G08_A3_T8M,16,10,8,3,0.375,24,64,8,102400,1071104,8000000,976,10,59750400000000,0.009060580164503102
d016_G08_A4_T8M,16,10,8,4,0.5,32,64,8,133120,1071104,8000000,976,10,61224960000000,0.009026869187041058
d016_G08_A8_T8M,16,10,8,8,1.0,64,64,8,256000,1071104,8000000,976,10,67123200000000,0.008900813258570839
d016_G16_A1_T8M,16,10,16,1,0.125,16,128,4,40960,1081344,8000000,976,10,57292800000000,0.009118953914021781
d016_G16_A2_T8M,16,10,16,2,0.25,32,128,4,71680,1081344,8000000,976,10,58767360000000,0.009083591515344254
d016_G16_A3_T8M,16,10,16,3,0.375,48,128,4,102400,1081344,8000000,976,10,60241920000000,0.009049237588937773
d016_G16_A4_T8M,16,10,16,4,0.5,64,128,4,133120,1081344,8000000,976,10,61716480000000,0.009015839723582917
d016_G16_A8_T8M,16,10,16,8,1.0,128,128,4,256000,1081344,8000000,976,10,67614720000000,0.008890889453263702
d016_G01_A1_T16M,16,10,1,1,0.125,1,8,64,40960,1062144,16000000,1953,20,112742400000000,0.008222319977773167
d016_G01_A2_T16M,16,10,1,2,0.25,2,8,64,71680,1062144,16000000,1953,20,115691520000000,0.008189921038690269
d016_G01_A3_T16M,16,10,1,3,0.375,3,8,64,102400,1062144,16000000,1953,20,118640640000000,0.00815846056951256
d016_G01_A4_T16M,16,10,1,4,0.5,4,8,64,133120,1062144,16000000,1953,20,121589760000000,0.00812788904986603
d016_G01_A8_T16M,16,10,1,8,1.0,8,8,64,256000,1062144,16000000,1953,20,133386240000000,0.0080136254782785
d016_G02_A1_T16M,16,10,2,1,0.125,2,16,32,40960,1063424,16000000,1953,20,112865280000000,0.008220950600695689
d016_G02_A2_T16M,16,10,2,2,0.25,4,16,32,71680,1063424,16000000,1953,20,115814400000000,0.008188591805758424
d016_G02_A3_T16M,16,10,2,3,0.375,6,16,32,102400,1063424,16000000,1953,20,118763520000000,0.00815716933761278
d016_G02_A4_T16M,16,10,2,4,0.5,8,16,32,133120,1063424,16000000,1953,20,121712640000000,0.00812663383938313
d016_G02_A8_T16M,16,10,2,8,1.0,16,16,32,256000,1063424,16000000,1953,20,133509120000000,0.008012497304087655
d016_G04_A1_T16M,16,10,4,1,0.125,4,32,16,40960,1065984,16000000,1953,20,113111040000000,0.008218216995808996
d016_G04_A2_T16M,16,10,4,2,0.25,8,32,16,71680,1065984,16000000,1953,20,116060160000000,0.008185938211105364
d016_G04_A3_T16M,16,10,4,3,0.375,12,32,16,102400,1065984,16000000,1953,20,119009280000000,0.008154591488416208
d016_G04_A4_T16M,16,10,4,4,0.5,16,32,16,133120,1065984,16000000,1953,20,121958400000000,0.008124127795735302
d016_G04_A8_T16M,16,10,4,8,1.0,32,32,16,256000,1065984,16000000,1953,20,133754880000000,0.008010244542797772
d016_G08_A1_T16M,16,10,8,1,0.125,8,64,8,40960,1071104,16000000,1953,20,113602560000000,0.008212770271045224
d016_G08_A2_T16M,16,10,8,2,0.25,16,64,8,71680,1071104,16000000,1953,20,116551680000000,0.008180650403315524
d016_G08_A3_T16M,16,10,8,3,0.375,24,64,8,102400,1071104,16000000,1953,20,119500800000000,0.008149454152970427
d016_G08_A4_T16M,16,10,8,4,0.5,32,64,8,133120,1071104,16000000,1953,20,122449920000000,0.008119133129339396
d016_G08_A8_T16M,16,10,8,8,1.0,64,64,8,256000,1071104,16000000,1953,20,134246400000000,0.008005753302537265
d016_G16_A1_T16M,16,10,16,1,0.125,16,128,4,40960,1081344,16000000,1953,20,114585600000000,0.008201957876440935
d016_G16_A2_T16M,16,10,16,2,0.25,32,128,4,71680,1081344,16000000,1953,20,117534720000000,0.008170151497431059
d016_G16_A3_T16M,16,10,16,3,0.375,48,128,4,102400,1081344,16000000,1953,20,120483840000000,0.008139252179380657
d016_G16_A4_T16M,16,10,16,4,0.5,64,128,4,133120,1081344,16000000,1953,20,123432960000000,0.008109212781508236
d016_G16_A8_T16M,16,10,16,8,1.0,128,128,4,256000,1081344,16000000,1953,20,135229440000000,0.007996827428597057
d032_G01_A1_T0_5M,32,10,1,1,0.125,1,8,128,163840,2636288,500000,61,10,7292160000000,0.01249763413896556
d032_G01_A2_T0_5M,32,10,1,2,0.25,2,8,128,286720,2636288,500000,61,10,7660800000000,0.012403750003660782
d032_G01_A3_T0_5M,32,10,1,3,0.375,3,8,128,409600,2636288,500000,61,10,8029440000000,0.01231493552104481
d032_G01_A4_T0_5M,32,10,1,4,0.5,4,8,128,532480,2636288,500000,61,10,8398080000000,0.012230702287976339
d032_G01_A8_T0_5M,32,10,1,8,1.0,8,8,128,1024000,2636288,500000,61,10,9872640000000,0.01193190168850022
d032_G02_A1_T0_5M,32,10,2,1,0.125,2,16,64,163840,2638848,500000,61,10,7299840000000,0.012495622839314722
d032_G02_A2_T0_5M,32,10,2,2,0.25,4,16,64,286720,2638848,500000,61,10,7668480000000,0.012401849815022408
d032_G02_A3_T0_5M,32,10,2,3,0.375,6,16,64,409600,2638848,500000,61,10,8037120000000,0.012313135505585883
d032_G02_A4_T0_5M,32,10,2,4,0.5,8,16,64,532480,2638848,500000,61,10,8405760000000,0.012228993015733994
d032_G02_A8_T0_5M,32,10,2,8,1.0,16,16,64,1024000,2638848,500000,61,10,9880320000000,0.011930483119753437
d032_G04_A1_T0_5M,32,10,4,1,0.125,4,32,32,163840,2643968,500000,61,10,7315200000000,0.0124916075488259
d032_G04_A2_T0_5M,32,10,4,2,0.25,8,32,32,286720,2643968,500000,61,10,7683840000000,0.012398056011284042
d032_G04_A3_T0_5M,32,10,4,3,0.375,12,32,32,409600,2643968,500000,61,10,8052480000000,0.0123095414164037
d032_G04_A4_T0_5M,32,10,4,4,0.5,16,32,32,532480,2643968,500000,61,10,8421120000000,0.012225579866297279
d032_G04_A8_T0_5M,32,10,4,8,1.0,32,32,32,1024000,2643968,500000,61,10,9895680000000,0.01192764979218945
d032_G08_A1_T0_5M,32,10,8,1,0.125,8,64,16,163840,2654208,500000,61,10,7345920000000,0.01248360604936622
d032_G08_A2_T0_5M,32,10,8,2,0.25,16,64,16,286720,2654208,500000,61,10,7714560000000,0.01239049456630817
d032_G08_A3_T0_5M,32,10,8,3,0.375,24,64,16,409600,2654208,500000,61,10,8083200000000,0.012302376891416143
d032_G08_A4_T0_5M,32,10,8,4,0.5,32,64,16,532480,2654208,500000,61,10,8451840000000,0.012218775049001387
d032_G08_A8_T0_5M,32,10,8,8,1.0,64,64,16,1024000,2654208,500000,61,10,9926400000000,0.011921998317493987
d032_G16_A1_T0_5M,32,10,16,1,0.125,16,128,8,163840,2674688,500000,61,10,7407360000000,0.012467718161760212
d032_G16_A2_T0_5M,32,10,16,2,0.25,32,128,8,286720,2674688,500000,61,10,7776000000000,0.012375475285462886
d032_G16_A3_T0_5M,32,10,16,3,0.375,48,128,8,409600,2674688,500000,61,10,8144640000000,0.012288141556570284
d032_G16_A4_T0_5M,32,10,16,4,0.5,64,128,8,532480,2674688,500000,61,10,8513280000000,0.012205250560235255
d032_G16_A8_T0_5M,32,10,16,8,1.0,128,128,8,1024000,2674688,500000,61,10,9987840000000,0.011910755619865456
d032_G01_A1_T1M,32,10,1,1,0.125,1,8,128,163840,2636288,1000000,122,10,14584320000000,0.011240880229183804
d032_G01_A2_T1M,32,10,1,2,0.25,2,8,128,286720,2636288,1000000,122,10,15321600000000,0.011156437021081631
d032_G01_A3_T1M,32,10,1,3,0.375,3,8,128,409600,2636288,1000000,122,10,16058880000000,0.011076553664711775
d032_G01_A4_T1M,32,10,1,4,0.5,4,8,128,532480,2636288,1000000,122,10,16796160000000,0.01100079087043318
d032_G01_A8_T1M,32,10,1,8,1.0,8,8,128,1024000,2636288,1000000,122,10,19745280000000,0.0107320374636866
d032_G02_A1_T1M,32,10,2,1,0.125,2,16,64,163840,2638848,1000000,122,10,14599680000000,0.011239071184509536
d032_G02_A2_T1M,32,10,2,2,0.25,4,16,64,286720,2638848,1000000,122,10,15336960000000,0.01115472791416913
d032_G02_A3_T1M,32,10,2,3,0.375,6,16,64,409600,2638848,1000000,122,10,16074240000000,0.011074934657629355
d032_G02_A4_T1M,32,10,2,4,0.5,8,16,64,532480,2638848,1000000,122,10,16811520000000,0.01099925348148887
d032_G02_A8_T1M,32,10,2,8,1.0,16,16,64,1024000,2638848,1000000,122,10,19760640000000,0.01073076154528459
d032_G04_A1_T1M,32,10,4,1,0.125,4,32,32,163840,2643968,1000000,122,10,14630400000000,0.01123545966900441
d032_G04_A2_T1M,32,10,4,2,0.25,8,32,32,286720,2643968,1000000,122,10,15367680000000,0.011151315612851792
d032_G04_A3_T1M,32,10,4,3,0.375,12,32,32,409600,2643968,1000000,122,10,16104960000000,0.011071701987703134
d032_G04_A4_T1M,32,10,4,4,0.5,16,32,32,532480,2643968,1000000,122,10,16842240000000,0.010996183556125734
d032_G04_A8_T1M,32,10,4,8,1.0,32,32,32,1024000,2643968,1000000,122,10,19791360000000,0.01072821313528613
d032_G08_A1_T1M,32,10,8,1,0.125,8,64,16,163840,2654208,1000000,122,10,14691840000000,0.011228262795093718
d032_G08_A2_T1M,32,10,8,2,0.25,16,64,16,286720,2654208,1000000,122,10,15429120000000,0.011144514541834013
d032_G08_A3_T1M,32,10,8,3,0.375,24,64,16,409600,2654208,1000000,122,10,16166400000000,0.011065257922659416
d032_G08_A4_T1M,32,10,8,4,0.5,32,64,16,532480,2654208,1000000,122,10,16903680000000,0.01099006302680362
d032_G08_A8_T1M,32,10,8,8,1.0,64,64,16,1024000,2654208,1000000,122,10,19852800000000,0.010723129969187369
d032_G16_A1_T1M,32,10,16,1,0.125,16,128,8,163840,2674688,1000000,122,10,14814720000000,0.011213972583067344
d032_G16_A2_T1M,32,10,16,2,0.25,32,128,8,286720,2674688,1000000,122,10,15552000000000,0.011131005590040974
d032_G16_A3_T1M,32,10,16,3,0.375,48,128,8,409600,2674688,1000000,122,10,16289280000000,0.011052454083769163
d032_G16_A4_T1M,32,10,16,4,0.5,64,128,8,532480,2674688,1000000,122,10,17026560000000,0.010977898551776536
d032_G16_A8_T1M,32,10,16,8,1.0,128,128,8,1024000,2674688,1000000,122,10,19975680000000,0.010713017829874438
d032_G01_A1_T2M,32,10,1,1,0.125,1,8,128,163840,2636288,2000000,244,10,29168640000000,0.010110504670071423
d032_G01_A2_T2M,32,10,1,2,0.25,2,8,128,286720,2636288,2000000,244,10,30643200000000,0.010034553015711094
d032_G01_A3_T2M,32,10,1,3,0.375,3,8,128,409600,2636288,2000000,244,10,32117760000000,0.009962702677377132
d032_G01_A4_T2M,32,10,1,4,0.5,4,8,128,532480,2636288,2000000,244,10,33592320000000,0.009894558540107285
d032_G01_A8_T2M,32,10,1,8,1.0,8,8,128,1024000,2636288,2000000,244,10,39490560000000,0.00965283080005412
d032_G02_A1_T2M,32,10,2,1,0.125,2,16,64,163840,2638848,2000000,244,10,29199360000000,0.010108877541745647
d032_G02_A2_T2M,32,10,2,2,0.25,4,16,64,286720,2638848,2000000,244,10,30673920000000,0.010033015775471167
d032_G02_A3_T2M,32,10,2,3,0.375,6,16,64,409600,2638848,2000000,244,10,32148480000000,0.009961246476587339
d032_G02_A4_T2M,32,10,2,4,0.5,8,16,64,532480,2638848,2000000,244,10,33623040000000,0.00989317574998905
d032_G02_A8_T2M,32,10,2,8,1.0,16,16,64,1024000,2638848,2000000,244,10,39521280000000,0.009651683187171576
d032_G04_A1_T2M,32,10,4,1,0.125,4,32,32,163840,2643968,2000000,244,10,29260800000000,0.010105629197876118
d032_G04_A2_T2M,32,10,4,2,0.25,8,32,32,286720,2643968,2000000,244,10,30735360000000,0.010029946612941078
d032_G04_A3_T2M,32,10,4,3,0.375,12,32,32,409600,2643968,2000000,244,10,32209920000000,0.009958338881833237
d032_G04_A4_T2M,32,10,4,4,0.5,16,32,32,532480,2643968,2000000,244,10,33684480000000,0.009890414534311281
d032_G04_A8_T2M,32,10,4,8,1.0,32,32,32,1024000,2643968,2000000,244,10,39582720000000,0.009649391043614723
d032_G08_A1_T2M,32,10,8,1,0.125,8,64,16,163840,2654208,2000000,244,10,29383680000000,0.010099156036895799
d032_G08_A2_T2M,32,10,8,2,0.25,16,64,16,286720,2654208,2000000,244,10,30858240000000,0.0100238294531738
d032_G08_A3_T2M,32,10,8,3,0.375,24,64,16,409600,2654208,2000000,244,10,32332800000000,0.009952542827752917
d032_G08_A4_T2M,32,10,8,4,0.5,32,64,16,532480,2654208,2000000,244,10,33807360000000,0.009884909481412142
d032_G08_A8_T2M,32,10,8,8,1.0,64,64,16,1024000,2654208,2000000,244,10,39705600000000,0.009644819037372111
d032_G16_A1_T2M,32,10,16,1,0.125,16,128,8,163840,2674688,2000000,244,10,29629440000000,0.010086302839238389
d032_G16_A2_T2M,32,10,16,2,0.25,32,128,8,286720,2674688,2000000,244,10,31104000000000,0.010011678952731968
d032_G16_A3_T2M,32,10,16,3,0.375,48,128,8,409600,2674688,2000000,244,10,32578560000000,0.009941026534521835
d032_G16_A4_T2M,32,10,16,4,0.5,64,128,8,532480,2674688,2000000,244,10,34053120000000,0.00987396825803259
d032_G16_A8_T2M,32,10,16,8,1.0,128,128,8,1024000,2674688,2000000,244,10,39951360000000,0.009635723768170472
d032_G01_A1_T4M,32,10,1,1,0.125,1,8,128,163840,2636288,4000000,488,10,58337280000000,0.009093798937394993
d032_G01_A2_T4M,32,10,1,2,0.25,2,8,128,286720,2636288,4000000,488,10,61286400000000,0.009025484931689629
d032_G01_A3_T4M,32,10,1,3,0.375,3,8,128,409600,2636288,4000000,488,10,64235520000000,0.00896085981635518
d032_G01_A4_T4M,32,10,1,4,0.5,4,8,128,532480,2636288,4000000,488,10,67184640000000,0.008899568208931409
d032_G01_A8_T4M,32,10,1,8,1.0,8,8,128,1024000,2636288,4000000,488,10,78981120000000,0.008682148452216253
d032_G02_A1_T4M,32,10,2,1,0.125,2,16,64,163840,2638848,4000000,488,10,58398720000000,0.009092335432028762
d032_G02_A2_T4M,32,10,2,2,0.25,4,16,64,286720,2638848,4000000,488,10,61347840000000,0.009024102275322165
d032_G02_A3_T4M,32,10,2,3,0.375,6,16,64,409600,2638848,4000000,488,10,64296960000000,0.008959550050163781
d032_G02_A4_T4M,32,10,2,4,0.5,8,16,64,532480,2638848,4000000,488,10,67246080000000,0.00889832447128248
d032_G02_A8_T4M,32,10,2,8,1.0,16,16,64,1024000,2638848,4000000,488,10,79042560000000,0.008681116242534108
d032_G04_A1_T4M,32,10,4,1,0.125,4,32,32,163840,2643968,4000000,488,10,58521600000000,0.009089413739492834
d032_G04_A2_T4M,32,10,4,2,0.25,8,32,32,286720,2643968,4000000,488,10,61470720000000,0.00902134174576745
d032_G04_A3_T4M,32,10,4,3,0.375,12,32,32,409600,2643968,4000000,488,10,64419840000000,0.008956934841235241
d032_G04_A4_T4M,32,10,4,4,0.5,16,32,32,532480,2643968,4000000,488,10,67368960000000,0.008895840921646154
d032_G04_A8_T4M,32,10,4,8,1.0,32,32,32,1024000,2643968,4000000,488,10,79165440000000,0.00867905459543321
d032_G08_A1_T4M,32,10,8,1,0.125,8,64,16,163840,2654208,4000000,488,10,58767360000000,0.009083591515344254
d032_G08_A2_T4M,32,10,8,2,0.25,16,64,16,286720,2654208,4000000,488,10,61716480000000,0.009015839723582917
d032_G08_A3_T4M,32,10,8,3,0.375,24,64,16,409600,2654208,4000000,488,10,64665600000000,0.008951721634559935
d032_G08_A4_T4M,32,10,8,4,0.5,32,64,16,532480,2654208,4000000,488,10,67614720000000,0.008890889453263702
d032_G08_A8_T4M,32,10,8,8,1.0,64,64,16,1024000,2654208,4000000,488,10,79411200000000,0.008674942347146148
d032_G16_A1_T4M,32,10,16,1,0.125,16,128,8,163840,2674688,4000000,488,10,59258880000000,0.009072030826831338
d032_G16_A2_T4M,32,10,16,2,0.25,32,128,8,286720,2674688,4000000,488,10,62208000000000,0.009004911069513469
d032_G16_A3_T4M,32,10,16,3,0.375,48,128,8,409600,2674688,4000000,488,10,65157120000000,0.008941363412239191
d032_G16_A4_T4M,32,10,16,4,0.5,64,128,8,532480,2674688,4000000,488,10,68106240000000,0.008881048472146578
d032_G16_A8_T4M,32,10,16,8,1.0,128,128,8,1024000,2674688,4000000,488,10,79902720000000,0.008666761692262916
d032_G01_A1_T8M,32,10,1,1,0.125,1,8,128,163840,2636288,8000000,976,10,116674560000000,0.008179332467800749
d032_G01_A2_T8M,32,10,1,2,0.25,2,8,128,286720,2636288,8000000,976,10,122572800000000,0.008117888073800164
d032_G01_A3_T8M,32,10,1,3,0.375,3,8,128,409600,2636288,8000000,976,10,128471040000000,0.008059761617769034
d032_G01_A4_T8M,32,10,1,4,0.5,4,8,128,532480,2636288,8000000,976,10,134369280000000,0.008004633454274738
d032_G01_A8_T8M,32,10,1,8,1.0,8,8,128,1024000,2636288,8000000,976,10,157962240000000,0.007809077286001787
d032_G02_A1_T8M,32,10,2,1,0.125,2,16,64,163840,2638848,8000000,976,10,116797440000000,0.008178016131576336
d032_G02_A2_T8M,32,10,2,2,0.25,4,16,64,286720,2638848,8000000,976,10,122695680000000,0.008116644456452115
d032_G02_A3_T8M,32,10,2,3,0.375,6,16,64,409600,2638848,8000000,976,10,128593920000000,0.008058583560808649
d032_G02_A4_T8M,32,10,2,4,0.5,8,16,64,532480,2638848,8000000,976,10,134492160000000,0.008003514786069808
d032_G02_A8_T8M,32,10,2,8,1.0,16,16,64,1024000,2638848,8000000,976,10,158085120000000,0.007808148874649736
d032_G04_A1_T8M,32,10,4,1,0.125,4,32,32,163840,2643968,8000000,976,10,117043200000000,0.008175388242529683
d032_G04_A2_T8M,32,10,4,2,0.25,8,32,32,286720,2643968,8000000,976,10,122941440000000,0.008114161523942759
d032_G04_A3_T8M,32,10,4,3,0.375,12,32,32,409600,2643968,8000000,976,10,128839680000000,0.008056231335578406
d032_G04_A4_T8M,32,10,4,4,0.5,16,32,32,532480,2643968,8000000,976,10,134737920000000,0.00800128098055952
d032_G04_A8_T8M,32,10,4,8,1.0,32,32,32,1024000,2643968,8000000,976,10,158330880000000,0.007806294545432034
d032_G08_A1_T8M,32,10,8,1,0.125,8,64,16,163840,2654208,8000000,976,10,117534720000000,0.008170151497431059
d032_G08_A2_T8M,32,10,8,2,0.25,16,64,16,286720,2654208,8000000,976,10,123432960000000,0.008109212781508236
d032_G08_A3_T8M,32,10,8,3,0.375,24,64,16,409600,2654208,8000000,976,10,129331200000000,0.008051542365554522
d032_G08_A4_T8M,32,10,8,4,0.5,32,64,16,532480,2654208,8000000,976,10,135229440000000,0.007996827428597057
d032_G08_A8_T8M,32,10,8,8,1.0,64,64,16,1024000,2654208,8000000,976,10,158822400000000,0.007802595822141407
d032_G16_A1_T8M,32,10,16,1,0.125,16,128,8,163840,2674688,8000000,976,10,118517760000000,0.008159753344188964
d032_G16_A2_T8M,32,10,16,2,0.25,32,128,8,286720,2674688,8000000,976,10,124416000000000,0.008099383105739617
d032_G16_A3_T8M,32,10,16,3,0.375,48,128,8,409600,2674688,8000000,976,10,130314240000000,0.008042225759291283
d032_G16_A4_T8M,32,10,16,4,0.5,64,128,8,532480,2674688,8000000,976,10,136212480000000,0.007987976050100518
d032_G16_A8_T8M,32,10,16,8,1.0,128,128,8,1024000,2674688,8000000,976,10,159805440000000,0.007795237808559299
d032_G01_A1_T16M,32,10,1,1,0.125,1,8,128,163840,2636288,16000000,1953,20,233349120000000,0.007356824147904911
d032_G01_A2_T16M,32,10,1,2,0.25,2,8,128,286720,2636288,16000000,1953,20,245145600000000,0.007301558561951973
d032_G01_A3_T16M,32,10,1,3,0.375,3,8,128,409600,2636288,16000000,1953,20,256942080000000,0.007249277264297749
d032_G01_A4_T16M,32,10,1,4,0.5,4,8,128,532480,2636288,16000000,1953,20,268738560000000,0.007199692752845125
d032_G01_A8_T16M,32,10,1,8,1.0,8,8,128,1024000,2636288,16000000,1953,20,315924480000000,0.0070238015848695275
d032_G02_A1_T16M,32,10,2,1,0.125,2,16,64,163840,2638848,16000000,1953,20,233594880000000,0.007355640181589733
d032_G02_A2_T16M,32,10,2,2,0.25,4,16,64,286720,2638848,16000000,1953,20,245391360000000,0.007300440001950544
d032_G02_A3_T16M,32,10,2,3,0.375,6,16,64,409600,2638848,16000000,1953,20,257187840000000,0.0072482176719743064
d032_G02_A4_T16M,32,10,2,4,0.5,8,16,64,532480,2638848,16000000,1953,20,268984320000000,0.007198686577182757
d032_G02_A8_T16M,32,10,2,8,1.0,16,16,64,1024000,2638848,16000000,1953,20,316170240000000,0.00702296653395543
d032_G04_A1_T16M,32,10,4,1,0.125,4,32,32,163840,2643968,16000000,1953,20,234086400000000,0.007353276551345756
d032_G04_A2_T16M,32,10,4,2,0.25,8,32,32,286720,2643968,16000000,1953,20,245882880000000,0.0072982067515093415
d032_G04_A3_T16M,32,10,4,3,0.375,12,32,32,409600,2643968,16000000,1953,20,257679360000000,0.007246101984973775
d032_G04_A4_T16M,32,10,4,4,0.5,16,32,32,532480,2643968,16000000,1953,20,269475840000000,0.007196677401692642
d032_G04_A8_T16M,32,10,4,8,1.0,32,32,32,1024000,2643968,16000000,1953,20,316661760000000,0.0070212986748702695
d032_G08_A1_T16M,32,10,8,1,0.125,8,64,16,163840,2654208,16000000,1953,20,235069440000000,0.007348566409906995
d032_G08_A2_T16M,32,10,8,2,0.25,16,64,16,286720,2654208,16000000,1953,20,246865920000000,0.007293755651375269
d032_G08_A3_T16M,32,10,8,3,0.375,24,64,16,409600,2654208,16000000,1953,20,258662400000000,0.007241884534706736
d032_G08_A4_T16M,32,10,8,4,0.5,32,64,16,532480,2654208,16000000,1953,20,270458880000000,0.0071926716960008415
d032_G08_A8_T16M,32,10,8,8,1.0,64,64,16,1024000,2654208,16000000,1953,20,317644800000000,0.007017971892773072
d032_G16_A1_T16M,32,10,16,1,0.125,16,128,8,163840,2674688,16000000,1953,20,237035520000000,0.007339213888149725
d032_G16_A2_T16M,32,10,16,2,0.25,32,128,8,286720,2674688,16000000,1953,20,248832000000000,0.007284914441368789
d032_G16_A3_T16M,32,10,16,3,0.375,48,128,8,409600,2674688,16000000,1953,20,260628480000000,0.00723350480027196
d032_G16_A4_T16M,32,10,16,4,0.5,64,128,8,532480,2674688,16000000,1953,20,272424960000000,0.00718471040633302
d032_G16_A8_T16M,32,10,16,8,1.0,128,128,8,1024000,2674688,16000000,1953,20,319610880000000,0.007011353796221238
d064_G01_A1_T0_5M,64,10,1,1,0.125,1,8,256,655360,7320576,500000,61,10,15567360000000,0.011129325627102652
d064_G01_A2_T0_5M,64,10,1,2,0.25,2,8,256,1146880,7320576,500000,61,10,17041920000000,0.010976385111652881
d064_G01_A3_T0_5M,64,10,1,3,0.375,3,8,256,1638400,7320576,500000,61,10,18516480000000,0.01083799219956521
