Loaded LR params from results/lr_params.json: A_eta=1.1576, beta_eta=0.1529
Wrote configs/grid/manifest.csv  (400 rows)

run_name                          d    G   j      A  top_k  n_exp  d_exp      N_act            C         lr
d064_G02_A3_T2M                  64    2   3  37.5%      6     16    128  1.638e+06    7.413e+13 8.7668e-03
d064_G02_A4_T2M                  64    2   4  50.0%      8     16    128  2.130e+06    8.003e+13 8.6647e-03
d064_G02_A8_T2M                  64    2   8 100.0%     16     16    128  4.096e+06    1.036e+14 8.3291e-03
d064_G04_A1_T2M                  64    4   1  12.5%      4     32     64  6.554e+05    6.245e+13 8.9995e-03
d064_G04_A2_T2M                  64    4   2  25.0%      8     32     64  1.147e+06    6.835e+13 8.8762e-03
d064_G04_A3_T2M                  64    4   3  37.5%     12     32     64  1.638e+06    7.425e+13 8.7645e-03
d064_G04_A4_T2M                  64    4   4  50.0%     16     32     64  2.130e+06    8.015e+13 8.6627e-03
d064_G04_A8_T2M                  64    4   8 100.0%     32     32     64  4.096e+06    1.037e+14 8.3276e-03
d064_G08_A1_T2M                  64    8   1  12.5%      8     64     32  6.554e+05    6.270e+13 8.9941e-03
d064_G08_A2_T2M                  64    8   2  25.0%     16     64     32  1.147e+06    6.860e+13 8.8713e-03
d064_G08_A3_T2M                  64    8   3  37.5%     24     64     32  1.638e+06    7.450e+13 8.7601e-03
d064_G08_A4_T2M                  64    8   4  50.0%     32     64     32  2.130e+06    8.039e+13 8.6586e-03
d064_G08_A8_T2M                  64    8   8 100.0%     64     64     32  4.096e+06    1.040e+14 8.3246e-03
d064_G16_A1_T2M                  64   16   1  12.5%     16    128     16  6.554e+05    6.319e+13 8.9833e-03
d064_G16_A2_T2M                  64   16   2  25.0%     32    128     16  1.147e+06    6.909e+13 8.8616e-03
d064_G16_A3_T2M                  64   16   3  37.5%     48    128     16  1.638e+06    7.499e+13 8.7513e-03
d064_G16_A4_T2M                  64   16   4  50.0%     64    128     16  2.130e+06    8.089e+13 8.6506e-03
d064_G16_A8_T2M                  64   16   8 100.0%    128    128     16  4.096e+06    1.045e+14 8.3186e-03
d064_G01_A1_T4M                  64    1   1  12.5%      1      8    256  6.554e+05    1.245e+14 8.0982e-03
d064_G01_A2_T4M                  64    1   2  25.0%      2      8    256  1.147e+06    1.363e+14 7.9869e-03
d064_G01_A3_T4M                  64    1   3  37.5%      3      8    256  1.638e+06    1.481e+14 7.8862e-03
d064_G01_A4_T4M                  64    1   4  50.0%      4      8    256  2.130e+06    1.599e+14 7.7943e-03
d064_G01_A8_T4M                  64    1   8 100.0%      8      8    256  4.096e+06    2.071e+14 7.4922e-03
d064_G02_A1_T4M                  64    2   1  12.5%      2     16    128  6.554e+05    1.247e+14 8.0969e-03
d064_G02_A2_T4M                  64    2   2  25.0%      4     16    128  1.147e+06    1.365e+14 7.9858e-03
d064_G02_A3_T4M                  64    2   3  37.5%      6     16    128  1.638e+06    1.483e+14 7.8852e-03
d064_G02_A4_T4M                  64    2   4  50.0%      8     16    128  2.130e+06    1.601e+14 7.7934e-03
d064_G02_A8_T4M                  64    2   8 100.0%     16     16    128  4.096e+06    2.072e+14 7.4915e-03
d064_G04_A1_T4M                  64    4   1  12.5%      4     32     64  6.554e+05    1.249e+14 8.0945e-03
d064_G04_A2_T4M                  64    4   2  25.0%      8     32     64  1.147e+06    1.367e+14 7.9836e-03
d064_G04_A3_T4M                  64    4   3  37.5%     12     32     64  1.638e+06    1.485e+14 7.8832e-03
d064_G04_A4_T4M                  64    4   4  50.0%     16     32     64  2.130e+06    1.603e+14 7.7916e-03
d064_G04_A8_T4M                  64    4   8 100.0%     32     32     64  4.096e+06    2.075e+14 7.4902e-03
d064_G08_A1_T4M                  64    8   1  12.5%      8     64     32  6.554e+05    1.254e+14 8.0896e-03
d064_G08_A2_T4M                  64    8   2  25.0%     16     64     32  1.147e+06    1.372e+14 7.9792e-03
d064_G08_A3_T4M                  64    8   3  37.5%     24     64     32  1.638e+06    1.490e+14 7.8792e-03
d064_G08_A4_T4M                  64    8   4  50.0%     32     64     32  2.130e+06    1.608e+14 7.7879e-03
d064_G08_A8_T4M                  64    8   8 100.0%     64     64     32  4.096e+06    2.080e+14 7.4875e-03
d064_G16_A1_T4M                  64   16   1  12.5%     16    128     16  6.554e+05    1.264e+14 8.0800e-03
d064_G16_A2_T4M                  64   16   2  25.0%     32    128     16  1.147e+06    1.382e+14 7.9705e-03
d064_G16_A3_T4M                  64   16   3  37.5%     48    128     16  1.638e+06    1.500e+14 7.8713e-03
d064_G16_A4_T4M                  64   16   4  50.0%     64    128     16  2.130e+06    1.618e+14 7.7807e-03
d064_G16_A8_T4M                  64   16   8 100.0%    128    128     16  4.096e+06    2.090e+14 7.4821e-03
d128_G01_A1_T0_5M               128    1   1  12.5%      1      8    512  2.621e+06    3.507e+13 9.8298e-03
d128_G01_A2_T0_5M               128    1   2  25.0%      2      8    512  4.588e+06    4.097e+13 9.5989e-03
d128_G01_A3_T0_5M               128    1   3  37.5%      3      8    512  6.554e+06    4.686e+13 9.4035e-03
d128_G01_A4_T0_5M               128    1   4  50.0%      4      8    512  8.520e+06    5.276e+13 9.2346e-03
d128_G01_A8_T0_5M               128    1   8 100.0%      8      8    512  1.638e+07    7.635e+13 8.7272e-03
d128_G02_A1_T0_5M               128    2   1  12.5%      2     16    256  2.621e+06    3.510e+13 9.8285e-03
d128_G02_A2_T0_5M               128    2   2  25.0%      4     16    256  4.588e+06    4.100e+13 9.5978e-03
d128_G02_A3_T0_5M               128    2   3  37.5%      6     16    256  6.554e+06    4.689e+13 9.4025e-03
d128_G02_A4_T0_5M               128    2   4  50.0%      8     16    256  8.520e+06    5.279e+13 9.2337e-03
d128_G02_A8_T0_5M               128    2   8 100.0%     16     16    256  1.638e+07    7.639e+13 8.7266e-03
d128_G04_A1_T0_5M               128    4   1  12.5%      4     32    128  2.621e+06    3.516e+13 9.8258e-03
d128_G04_A2_T0_5M               128    4   2  25.0%      8     32    128  4.588e+06    4.106e+13 9.5956e-03
d128_G04_A3_T0_5M               128    4   3  37.5%     12     32    128  6.554e+06    4.696e+13 9.4006e-03
d128_G04_A4_T0_5M               128    4   4  50.0%     16     32    128  8.520e+06    5.285e+13 9.2321e-03
d128_G04_A8_T0_5M               128    4   8 100.0%     32     32    128  1.638e+07    7.645e+13 8.7256e-03
d128_G08_A1_T0_5M               128    8   1  12.5%      8     64     64  2.621e+06    3.528e+13 9.8206e-03
d128_G08_A2_T0_5M               128    8   2  25.0%     16     64     64  4.588e+06    4.118e+13 9.5912e-03
d128_G08_A3_T0_5M               128    8   3  37.5%     24     64     64  6.554e+06    4.708e+13 9.3969e-03
d128_G08_A4_T0_5M               128    8   4  50.0%     32     64     64  8.520e+06    5.298e+13 9.2288e-03
d128_G08_A8_T0_5M               128    8   8 100.0%     64     64     64  1.638e+07    7.657e+13 8.7234e-03
d128_G16_A1_T0_5M               128   16   1  12.5%     16    128     32  2.621e+06    3.553e+13 9.8102e-03
d128_G16_A2_T0_5M               128   16   2  25.0%     32    128     32  4.588e+06    4.143e+13 9.5825e-03
d128_G16_A3_T0_5M               128   16   3  37.5%     48    128     32  6.554e+06    4.732e+13 9.3894e-03
d128_G16_A4_T0_5M               128   16   4  50.0%     64    128     32  8.520e+06    5.322e+13 9.2223e-03
d128_G16_A8_T0_5M               128   16   8 100.0%    128    128     32  1.638e+07    7.682e+13 8.7191e-03
d128_G01_A1_T1M                 128    1   1  12.5%      1      8    512  2.621e+06    7.013e+13 8.8413e-03
d128_G01_A2_T1M                 128    1   2  25.0%      2      8    512  4.588e+06    8.193e+13 8.6336e-03
d128_G01_A3_T1M                 128    1   3  37.5%      3      8    512  6.554e+06    9.373e+13 8.4579e-03
d128_G01_A4_T1M                 128    1   4  50.0%      4      8    512  8.520e+06    1.055e+14 8.3059e-03
d128_G01_A8_T1M                 128    1   8 100.0%      8      8    512  1.638e+07    1.527e+14 7.8496e-03
d128_G02_A1_T1M                 128    2   1  12.5%      2     16    256  2.621e+06    7.020e+13 8.8401e-03
d128_G02_A2_T1M                 128    2   2  25.0%      4     16    256  4.588e+06    8.199e+13 8.6326e-03
d128_G02_A3_T1M                 128    2   3  37.5%      6     16    256  6.554e+06    9.379e+13 8.4570e-03
d128_G02_A4_T1M                 128    2   4  50.0%      8     16    256  8.520e+06    1.056e+14 8.3052e-03
d128_G02_A8_T1M                 128    2   8 100.0%     16     16    256  1.638e+07    1.528e+14 7.8491e-03
d128_G04_A1_T1M                 128    4   1  12.5%      4     32    128  2.621e+06    7.032e+13 8.8378e-03
d128_G04_A2_T1M                 128    4   2  25.0%      8     32    128  4.588e+06    8.211e+13 8.6307e-03
d128_G04_A3_T1M                 128    4   3  37.5%     12     32    128  6.554e+06    9.391e+13 8.4553e-03
d128_G04_A4_T1M                 128    4   4  50.0%     16     32    128  8.520e+06    1.057e+14 8.3037e-03
d128_G04_A8_T1M                 128    4   8 100.0%     32     32    128  1.638e+07    1.529e+14 7.8481e-03
d128_G08_A1_T1M                 128    8   1  12.5%      8     64     64  2.621e+06    7.056e+13 8.8330e-03
d128_G08_A2_T1M                 128    8   2  25.0%     16     64     64  4.588e+06    8.236e+13 8.6267e-03
d128_G08_A3_T1M                 128    8   3  37.5%     24     64     64  6.554e+06    9.416e+13 8.4519e-03
d128_G08_A4_T1M                 128    8   4  50.0%     32     64     64  8.520e+06    1.060e+14 8.3008e-03
d128_G08_A8_T1M                 128    8   8 100.0%     64     64     64  1.638e+07    1.531e+14 7.8462e-03
d128_G16_A1_T1M                 128   16   1  12.5%     16    128     32  2.621e+06    7.106e+13 8.8237e-03
d128_G16_A2_T1M                 128   16   2  25.0%     32    128     32  4.588e+06    8.285e+13 8.6189e-03
d128_G16_A3_T1M                 128   16   3  37.5%     48    128     32  6.554e+06    9.465e+13 8.4452e-03
d128_G16_A4_T1M                 128   16   4  50.0%     64    128     32  8.520e+06    1.064e+14 8.2949e-03
d128_G16_A8_T1M                 128   16   8 100.0%    128    128     32  1.638e+07    1.536e+14 7.8423e-03
d128_G01_A1_T2M                 128    1   1  12.5%      1      8    512  2.621e+06    1.403e+14 7.9522e-03
d128_G01_A2_T2M                 128    1   2  25.0%      2      8    512  4.588e+06    1.639e+14 7.7654e-03
d128_G01_A3_T2M                 128    1   3  37.5%      3      8    512  6.554e+06    1.875e+14 7.6073e-03
d128_G01_A4_T2M                 128    1   4  50.0%      4      8    512  8.520e+06    2.110e+14 7.4707e-03
d128_G01_A8_T2M                 128    1   8 100.0%      8      8    512  1.638e+07    3.054e+14 7.0602e-03
d128_G02_A1_T2M                 128    2   1  12.5%      2     16    256  2.621e+06    1.404e+14 7.9512e-03
d128_G02_A2_T2M                 128    2   2  25.0%      4     16    256  4.588e+06    1.640e+14 7.7645e-03
d128_G02_A3_T2M                 128    2   3  37.5%      6     16    256  6.554e+06    1.876e+14 7.6066e-03
d128_G02_A4_T2M                 128    2   4  50.0%      8     16    256  8.520e+06    2.112e+14 7.4700e-03
d128_G02_A8_T2M                 128    2   8 100.0%     16     16    256  1.638e+07    3.055e+14 7.0598e-03
d128_G04_A1_T2M                 128    4   1  12.5%      4     32    128  2.621e+06    1.406e+14 7.9490e-03
d128_G04_A2_T2M                 128    4   2  25.0%      8     32    128  4.588e+06    1.642e+14 7.7628e-03
d128_G04_A3_T2M                 128    4   3  37.5%     12     32    128  6.554e+06    1.878e+14 7.6051e-03
d128_G04_A4_T2M                 128    4   4  50.0%     16     32    128  8.520e+06    2.114e+14 7.4687e-03
d128_G04_A8_T2M                 128    4   8 100.0%     32     32    128  1.638e+07    3.058e+14 7.0589e-03
d128_G08_A1_T2M                 128    8   1  12.5%      8     64     64  2.621e+06    1.411e+14 7.9448e-03
d128_G08_A2_T2M                 128    8   2  25.0%     16     64     64  4.588e+06    1.647e+14 7.7592e-03
d128_G08_A3_T2M                 128    8   3  37.5%     24     64     64  6.554e+06    1.883e+14 7.6020e-03
d128_G08_A4_T2M                 128    8   4  50.0%     32     64     64  8.520e+06    2.119e+14 7.4661e-03
d128_G08_A8_T2M                 128    8   8 100.0%     64     64     64  1.638e+07    3.063e+14 7.0572e-03
d128_G16_A1_T2M                 128   16   1  12.5%     16    128     32  2.621e+06    1.421e+14 7.9364e-03
d128_G16_A2_T2M                 128   16   2  25.0%     32    128     32  4.588e+06    1.657e+14 7.7522e-03
d128_G16_A3_T2M                 128   16   3  37.5%     48    128     32  6.554e+06    1.893e+14 7.5960e-03
d128_G16_A4_T2M                 128   16   4  50.0%     64    128     32  8.520e+06    2.129e+14 7.4608e-03
d128_G16_A8_T2M                 128   16   8 100.0%    128    128     32  1.638e+07    3.073e+14 7.0537e-03
d128_G01_A1_T4M                 128    1   1  12.5%      1      8    512  2.621e+06    2.805e+14 7.1526e-03
d128_G01_A2_T4M                 128    1   2  25.0%      2      8    512  4.588e+06    3.277e+14 6.9845e-03
d128_G01_A3_T4M                 128    1   3  37.5%      3      8    512  6.554e+06    3.749e+14 6.8424e-03
d128_G01_A4_T4M                 128    1   4  50.0%      4      8    512  8.520e+06    4.221e+14 6.7194e-03
d128_G01_A8_T4M                 128    1   8 100.0%      8      8    512  1.638e+07    6.108e+14 6.3502e-03
d128_G02_A1_T4M                 128    2   1  12.5%      2     16    256  2.621e+06    2.808e+14 7.1516e-03
d128_G02_A2_T4M                 128    2   2  25.0%      4     16    256  4.588e+06    3.280e+14 6.9837e-03
d128_G02_A3_T4M                 128    2   3  37.5%      6     16    256  6.554e+06    3.752e+14 6.8417e-03
d128_G02_A4_T4M                 128    2   4  50.0%      8     16    256  8.520e+06    4.223e+14 6.7189e-03
d128_G02_A8_T4M                 128    2   8 100.0%     16     16    256  1.638e+07    6.111e+14 6.3499e-03
d128_G04_A1_T4M                 128    4   1  12.5%      4     32    128  2.621e+06    2.813e+14 7.1497e-03
d128_G04_A2_T4M                 128    4   2  25.0%      8     32    128  4.588e+06    3.285e+14 6.9821e-03
d128_G04_A3_T4M                 128    4   3  37.5%     12     32    128  6.554e+06    3.756e+14 6.8403e-03
d128_G04_A4_T4M                 128    4   4  50.0%     16     32    128  8.520e+06    4.228e+14 6.7177e-03
d128_G04_A8_T4M                 128    4   8 100.0%     32     32    128  1.638e+07    6.116e+14 6.3491e-03
d128_G08_A1_T4M                 128    8   1  12.5%      8     64     64  2.621e+06    2.823e+14 7.1459e-03
d128_G08_A2_T4M                 128    8   2  25.0%     16     64     64  4.588e+06    3.294e+14 6.9790e-03
d128_G08_A3_T4M                 128    8   3  37.5%     24     64     64  6.554e+06    3.766e+14 6.8376e-03
d128_G08_A4_T4M                 128    8   4  50.0%     32     64     64  8.520e+06    4.238e+14 6.7153e-03
d128_G08_A8_T4M                 128    8   8 100.0%     64     64     64  1.638e+07    6.126e+14 6.3475e-03
d128_G16_A1_T4M                 128   16   1  12.5%     16    128     32  2.621e+06    2.842e+14 7.1383e-03
d128_G16_A2_T4M                 128   16   2  25.0%     32    128     32  4.588e+06    3.314e+14 6.9726e-03
d128_G16_A3_T4M                 128   16   3  37.5%     48    128     32  6.554e+06    3.786e+14 6.8321e-03
d128_G16_A4_T4M                 128   16   4  50.0%     64    128     32  8.520e+06    4.258e+14 6.7105e-03
d128_G16_A8_T4M                 128   16   8 100.0%    128    128     32  1.638e+07    6.145e+14 6.3444e-03
d192_G01_A1_T0_5M               192    1   1  12.5%      1      8    768  5.898e+06    5.850e+13 9.0900e-03
d192_G01_A2_T0_5M               192    1   2  25.0%      2      8    768  1.032e+07    7.177e+13 8.8102e-03
d192_G01_A3_T0_5M               192    1   3  37.5%      3      8    768  1.475e+07    8.504e+13 8.5846e-03
d192_G01_A4_T0_5M               192    1   4  50.0%      4      8    768  1.917e+07    9.831e+13 8.3963e-03
d192_G01_A8_T0_5M               192    1   8 100.0%      8      8    768  3.686e+07    1.514e+14 7.8599e-03
d192_G02_A1_T0_5M               192    2   1  12.5%      2     16    384  5.898e+06    5.854e+13 9.0889e-03
d192_G02_A2_T0_5M               192    2   2  25.0%      4     16    384  1.032e+07    7.182e+13 8.8093e-03
d192_G02_A3_T0_5M               192    2   3  37.5%      6     16    384  1.475e+07    8.509e+13 8.5839e-03
d192_G02_A4_T0_5M               192    2   4  50.0%      8     16    384  1.917e+07    9.836e+13 8.3957e-03
d192_G02_A8_T0_5M               192    2   8 100.0%     16     16    384  3.686e+07    1.514e+14 7.8596e-03
d192_G04_A1_T0_5M               192    4   1  12.5%      4     32    192  5.898e+06    5.864e+13 9.0867e-03
d192_G04_A2_T0_5M               192    4   2  25.0%      8     32    192  1.032e+07    7.191e+13 8.8076e-03
d192_G04_A3_T0_5M               192    4   3  37.5%     12     32    192  1.475e+07    8.518e+13 8.5824e-03
d192_G04_A4_T0_5M               192    4   4  50.0%     16     32    192  1.917e+07    9.845e+13 8.3945e-03
d192_G04_A8_T0_5M               192    4   8 100.0%     32     32    192  3.686e+07    1.515e+14 7.8588e-03
d192_G08_A1_T0_5M               192    8   1  12.5%      8     64     96  5.898e+06    5.882e+13 9.0823e-03
d192_G08_A2_T0_5M               192    8   2  25.0%     16     64     96  1.032e+07    7.209e+13 8.8042e-03
d192_G08_A3_T0_5M               192    8   3  37.5%     24     64     96  1.475e+07    8.536e+13 8.5796e-03
d192_G08_A4_T0_5M               192    8   4  50.0%     32     64     96  1.917e+07    9.863e+13 8.3921e-03
d192_G08_A8_T0_5M               192    8   8 100.0%     64     64     96  3.686e+07    1.517e+14 7.8574e-03
d192_G16_A1_T0_5M               192   16   1  12.5%     16    128     48  5.898e+06    5.919e+13 9.0736e-03
d192_G16_A2_T0_5M               192   16   2  25.0%     32    128     48  1.032e+07    7.246e+13 8.7973e-03
d192_G16_A3_T0_5M               192   16   3  37.5%     48    128     48  1.475e+07    8.573e+13 8.5740e-03
d192_G16_A4_T0_5M               192   16   4  50.0%     64    128     48  1.917e+07    9.900e+13 8.3873e-03
d192_G16_A8_T0_5M               192   16   8 100.0%    128    128     48  3.686e+07    1.521e+14 7.8545e-03
d192_G01_A1_T1M                 192    1   1  12.5%      1      8    768  5.898e+06    1.170e+14 8.1759e-03
d192_G01_A2_T1M                 192    1   2  25.0%      2      8    768  1.032e+07    1.435e+14 7.9242e-03
d192_G01_A3_T1M                 192    1   3  37.5%      3      8    768  1.475e+07    1.701e+14 7.7213e-03
d192_G01_A4_T1M                 192    1   4  50.0%      4      8    768  1.917e+07    1.966e+14 7.5520e-03
d192_G01_A8_T1M                 192    1   8 100.0%      8      8    768  3.686e+07    3.028e+14 7.0695e-03
d192_G02_A1_T1M                 192    2   1  12.5%      2     16    384  5.898e+06    1.171e+14 8.1749e-03
d192_G02_A2_T1M                 192    2   2  25.0%      4     16    384  1.032e+07    1.436e+14 7.9235e-03
d192_G02_A3_T1M                 192    2   3  37.5%      6     16    384  1.475e+07    1.702e+14 7.7207e-03
d192_G02_A4_T1M                 192    2   4  50.0%      8     16    384  1.917e+07    1.967e+14 7.5515e-03
d192_G02_A8_T1M                 192    2   8 100.0%     16     16    384  3.686e+07    3.029e+14 7.0692e-03
d192_G04_A1_T1M                 192    4   1  12.5%      4     32    192  5.898e+06    1.173e+14 8.1729e-03
d192_G04_A2_T1M                 192    4   2  25.0%      8     32    192  1.032e+07    1.438e+14 7.9219e-03
d192_G04_A3_T1M                 192    4   3  37.5%     12     32    192  1.475e+07    1.704e+14 7.7194e-03
d192_G04_A4_T1M                 192    4   4  50.0%     16     32    192  1.917e+07    1.969e+14 7.5504e-03
d192_G04_A8_T1M                 192    4   8 100.0%     32     32    192  3.686e+07    3.031e+14 7.0686e-03
d192_G08_A1_T1M                 192    8   1  12.5%      8     64     96  5.898e+06    1.176e+14 8.1690e-03
d192_G08_A2_T1M                 192    8   2  25.0%     16     64     96  1.032e+07    1.442e+14 7.9188e-03
d192_G08_A3_T1M                 192    8   3  37.5%     24     64     96  1.475e+07    1.707e+14 7.7168e-03
d192_G08_A4_T1M                 192    8   4  50.0%     32     64     96  1.917e+07    1.973e+14 7.5482e-03
d192_G08_A8_T1M                 192    8   8 100.0%     64     64     96  3.686e+07    3.034e+14 7.0672e-03
d192_G16_A1_T1M                 192   16   1  12.5%     16    128     48  5.898e+06    1.184e+14 8.1612e-03
d192_G16_A2_T1M                 192   16   2  25.0%     32    128     48  1.032e+07    1.449e+14 7.9126e-03
d192_G16_A3_T1M                 192   16   3  37.5%     48    128     48  1.475e+07    1.715e+14 7.7118e-03
d192_G16_A4_T1M                 192   16   4  50.0%     64    128     48  1.917e+07    1.980e+14 7.5439e-03
d192_G16_A8_T1M                 192   16   8 100.0%    128    128     48  3.686e+07    3.042e+14 7.0646e-03
d192_G01_A1_T2M                 192    1   1  12.5%      1      8    768  5.898e+06    2.340e+14 7.3537e-03
d192_G01_A2_T2M                 192    1   2  25.0%      2      8    768  1.032e+07    2.871e+14 7.1274e-03
d192_G01_A3_T2M                 192    1   3  37.5%      3      8    768  1.475e+07    3.402e+14 6.9449e-03
d192_G01_A4_T2M                 192    1   4  50.0%      4      8    768  1.917e+07    3.932e+14 6.7926e-03
d192_G01_A8_T2M                 192    1   8 100.0%      8      8    768  3.686e+07    6.056e+14 6.3586e-03
d192_G02_A1_T2M                 192    2   1  12.5%      2     16    384  5.898e+06    2.342e+14 7.3528e-03
d192_G02_A2_T2M                 192    2   2  25.0%      4     16    384  1.032e+07    2.873e+14 7.1267e-03
d192_G02_A3_T2M                 192    2   3  37.5%      6     16    384  1.475e+07    3.403e+14 6.9443e-03
