Loaded LR params from results/lr_params.json: A_eta=1.1576, beta_eta=0.1529
Wrote configs/grid/manifest.csv  (400 rows)

run_name                          d    G   j      A  top_k  n_exp  d_exp      N_act            C         lr
d064_G02_A4_T16M                 64    2   4  50.0%      8     16    128  2.130e+06    6.402e+14 6.3048e-03
d064_G02_A8_T16M                 64    2   8 100.0%     16     16    128  4.096e+06    8.289e+14 6.0606e-03
d064_G04_A1_T16M                 64    4   1  12.5%      4     32     64  6.554e+05    4.996e+14 6.5484e-03
d064_G04_A2_T16M                 64    4   2  25.0%      8     32     64  1.147e+06    5.468e+14 6.4587e-03
d064_G04_A3_T16M                 64    4   3  37.5%     12     32     64  1.638e+06    5.940e+14 6.3774e-03
d064_G04_A4_T16M                 64    4   4  50.0%     16     32     64  2.130e+06    6.412e+14 6.3033e-03
d064_G04_A8_T16M                 64    4   8 100.0%     32     32     64  4.096e+06    8.299e+14 6.0595e-03
d064_G08_A1_T16M                 64    8   1  12.5%      8     64     32  6.554e+05    5.016e+14 6.5445e-03
d064_G08_A2_T16M                 64    8   2  25.0%     16     64     32  1.147e+06    5.488e+14 6.4551e-03
d064_G08_A3_T16M                 64    8   3  37.5%     24     64     32  1.638e+06    5.960e+14 6.3742e-03
d064_G08_A4_T16M                 64    8   4  50.0%     32     64     32  2.130e+06    6.432e+14 6.3004e-03
d064_G08_A8_T16M                 64    8   8 100.0%     64     64     32  4.096e+06    8.319e+14 6.0573e-03
d064_G16_A1_T16M                 64   16   1  12.5%     16    128     16  6.554e+05    5.055e+14 6.5367e-03
d064_G16_A2_T16M                 64   16   2  25.0%     32    128     16  1.147e+06    5.527e+14 6.4481e-03
d064_G16_A3_T16M                 64   16   3  37.5%     48    128     16  1.638e+06    5.999e+14 6.3678e-03
d064_G16_A4_T16M                 64   16   4  50.0%     64    128     16  2.130e+06    6.471e+14 6.2945e-03
d064_G16_A8_T16M                 64   16   8 100.0%    128    128     16  4.096e+06    8.358e+14 6.0529e-03
d064_G01_A1_T32M                 64    1   1  12.5%      1      8    256  6.554e+05    9.963e+14 5.8926e-03
d064_G01_A2_T32M                 64    1   2  25.0%      2      8    256  1.147e+06    1.091e+15 5.8116e-03
d064_G01_A3_T32M                 64    1   3  37.5%      3      8    256  1.638e+06    1.185e+15 5.7383e-03
d064_G01_A4_T32M                 64    1   4  50.0%      4      8    256  2.130e+06    1.279e+15 5.6715e-03
d064_G01_A8_T32M                 64    1   8 100.0%      8      8    256  4.096e+06    1.657e+15 5.4516e-03
d064_G02_A1_T32M                 64    2   1  12.5%      2     16    128  6.554e+05    9.973e+14 5.8917e-03
d064_G02_A2_T32M                 64    2   2  25.0%      4     16    128  1.147e+06    1.092e+15 5.8108e-03
d064_G02_A3_T32M                 64    2   3  37.5%      6     16    128  1.638e+06    1.186e+15 5.7376e-03
d064_G02_A4_T32M                 64    2   4  50.0%      8     16    128  2.130e+06    1.280e+15 5.6708e-03
d064_G02_A8_T32M                 64    2   8 100.0%     16     16    128  4.096e+06    1.658e+15 5.4512e-03
d064_G04_A1_T32M                 64    4   1  12.5%      4     32     64  6.554e+05    9.993e+14 5.8899e-03
d064_G04_A2_T32M                 64    4   2  25.0%      8     32     64  1.147e+06    1.094e+15 5.8092e-03
d064_G04_A3_T32M                 64    4   3  37.5%     12     32     64  1.638e+06    1.188e+15 5.7361e-03
d064_G04_A4_T32M                 64    4   4  50.0%     16     32     64  2.130e+06    1.282e+15 5.6695e-03
d064_G04_A8_T32M                 64    4   8 100.0%     32     32     64  4.096e+06    1.660e+15 5.4502e-03
d064_G08_A1_T32M                 64    8   1  12.5%      8     64     32  6.554e+05    1.003e+15 5.8864e-03
d064_G08_A2_T32M                 64    8   2  25.0%     16     64     32  1.147e+06    1.098e+15 5.8060e-03
d064_G08_A3_T32M                 64    8   3  37.5%     24     64     32  1.638e+06    1.192e+15 5.7332e-03
d064_G08_A4_T32M                 64    8   4  50.0%     32     64     32  2.130e+06    1.286e+15 5.6668e-03
d064_G08_A8_T32M                 64    8   8 100.0%     64     64     32  4.096e+06    1.664e+15 5.4482e-03
d064_G16_A1_T32M                 64   16   1  12.5%     16    128     16  6.554e+05    1.011e+15 5.8793e-03
d064_G16_A2_T32M                 64   16   2  25.0%     32    128     16  1.147e+06    1.105e+15 5.7997e-03
d064_G16_A3_T32M                 64   16   3  37.5%     48    128     16  1.638e+06    1.200e+15 5.7275e-03
d064_G16_A4_T32M                 64   16   4  50.0%     64    128     16  2.130e+06    1.294e+15 5.6615e-03
d064_G16_A8_T32M                 64   16   8 100.0%    128    128     16  4.096e+06    1.672e+15 5.4443e-03
d128_G01_A1_T4M                 128    1   1  12.5%      1      8    512  2.621e+06    2.805e+14 7.1526e-03
d128_G01_A2_T4M                 128    1   2  25.0%      2      8    512  4.588e+06    3.277e+14 6.9845e-03
d128_G01_A3_T4M                 128    1   3  37.5%      3      8    512  6.554e+06    3.749e+14 6.8424e-03
d128_G01_A4_T4M                 128    1   4  50.0%      4      8    512  8.520e+06    4.221e+14 6.7194e-03
d128_G01_A8_T4M                 128    1   8 100.0%      8      8    512  1.638e+07    6.108e+14 6.3502e-03
d128_G02_A1_T4M                 128    2   1  12.5%      2     16    256  2.621e+06    2.808e+14 7.1516e-03
d128_G02_A2_T4M                 128    2   2  25.0%      4     16    256  4.588e+06    3.280e+14 6.9837e-03
d128_G02_A3_T4M                 128    2   3  37.5%      6     16    256  6.554e+06    3.752e+14 6.8417e-03
d128_G02_A4_T4M                 128    2   4  50.0%      8     16    256  8.520e+06    4.223e+14 6.7189e-03
d128_G02_A8_T4M                 128    2   8 100.0%     16     16    256  1.638e+07    6.111e+14 6.3499e-03
d128_G04_A1_T4M                 128    4   1  12.5%      4     32    128  2.621e+06    2.813e+14 7.1497e-03
d128_G04_A2_T4M                 128    4   2  25.0%      8     32    128  4.588e+06    3.285e+14 6.9821e-03
d128_G04_A3_T4M                 128    4   3  37.5%     12     32    128  6.554e+06    3.756e+14 6.8403e-03
d128_G04_A4_T4M                 128    4   4  50.0%     16     32    128  8.520e+06    4.228e+14 6.7177e-03
d128_G04_A8_T4M                 128    4   8 100.0%     32     32    128  1.638e+07    6.116e+14 6.3491e-03
d128_G08_A1_T4M                 128    8   1  12.5%      8     64     64  2.621e+06    2.823e+14 7.1459e-03
d128_G08_A2_T4M                 128    8   2  25.0%     16     64     64  4.588e+06    3.294e+14 6.9790e-03
